kode_dokter:id_spesialis:id_poli:nama_dokter:hari:jam
1:11:POLIKLINIK ANAK:BURHAN, DR., SP.A.:SENIN:"07:30 s.d 09:00"
2:11:POLIKLINIK ANAK:DICKY SANTOSA, DR.,SP.A., MM., M.KES.:SENIN:"14:00 s.d 16:00"
3:11:POLIKLINIK ANAK:LIA MARLIA K., HJ. DR. SP. A.:SENIN:"08:00 s.d 10:00"
4:11:POLIKLINIK ANAK:WEDI ISKANDAR, DR. SP.A.:SENIN:"07:50 s.d 10:00"
5:11:POLIKLINIK ANAK:YENI ANDAYANI, HJ. DR. SP.A.:SENIN:"09:00 s.d 12:00"
6:11:POLIKLINIK ANAK :LIA MARLIA K., HJ. DR. SP. A.:SENIN:"11:00 s.d 13:00"
7:11:POLIKLINIK ANAK PINERE:WEDI ISKANDAR, DR. SP.A.:SENIN:"10:00 s.d 12:00"
8:9:POLIKLINIK BEDAH ORTHOPEDI (RAUDHAH):DENY HERMANA, DR, SP.OT.:SENIN:"08:00 s.d 10:00"
9:3:POLIKLINIK BEDAH ANAK:ARIF BUDIMAN, DR,. SP. B (K) A:SENIN:"15:00 s.d 16:00"
10:6:POLIKLINIK BEDAH MULUT:SRI UTARI,DRG., SPBM:SENIN:"09:00 s.d 11:00"
11:9:POLIKLINIK BEDAH ORTHOPEDY:DADANG RUKANTA, H. DR., SP.OT.FICS., M.KES.:SENIN:"10:00 s.d 12:00"
12:4:POLIKLINIK BEDAH SYARAF:AKHMAD IMRON, DR. DR., SP.BS (K)., M. KES:SENIN:"16:00 s.d 17:00"
13:6:POLIKLINIK BEDAH UMUM:IRZAN GUSTANTO NUGRAHA LUBIS, DR. SP.B.:SENIN:"08:00 s.d 10:00"
14:6:POLIKLINIK BEDAH UMUM (RAUDHAH):CATUR SETYO DAMARIANTO, H. DR., SP. B.:SENIN:"10:00 s.d 12:00"
15:1:POLIKLINIK BEDAH UROLOGI:TJAHJODJATI, DR., SP.B, (K) U:SENIN:"14:00 s.d 16:00"
16:20:POLIKLINIK ENDODONTI:DEWI ROSMALADEWI, DRG., SPKG:SENIN:"09:00 s.d 12:00"
17:18:POLIKLINIK GIGI:RULIA, DRG.:SENIN:"09:00 s.d 12:00"
18:18:POLIKLINIK GIGI:TINI KARTINI DAHLAN, DRG.:SENIN:"09:00 s.d 12:00"
19:19:POLIKLINIK GIZI:RITA RATNASARI, DR., SP.GK:SENIN:"10:00 s.d 12:00"
20:10:POLIKLINIK JANTUNG:FAJAR ASHARI, H. DR., SP. JP.:SENIN:"09:00 s.d 12:00"
21:10:POLIKLINIK JANTUNG:M. AGUS THOSIN H. A. T., H. DR., SP.JP.:SENIN:"15:30 s.d 16:00"
22:10:POLIKLINIK JANTUNG:SUGIANTORO, DR., SP. JP.:SENIN:"10:00 s.d 15:00"
23:10:POLIKLINIK JANTUNG:WIDI NUGRAHA HADIAN, DR, SP.JP:SENIN:"09:00 s.d 12:00"
24:21:POLIKLINIK KANDUNGAN:DELLE HELIANI AMALI, DR., SP.OG.:SENIN:"14:00 s.d 15:00"
25:21:POLIKLINIK KANDUNGAN (RAUDHAH):ANDI RINALDI, DR., SP.OG(K).:SENIN:"15:00 s.d 16:30"
26:21:POLIKLINIK KANDUNGAN (RAUDHAH):DELLE HELIANI AMALI, DR., SP.OG.:SENIN:"09:00 s.d 12:00"
27:21:POLIKLINIK KANDUNGAN (RAUDHAH):DWIWAHJU DIAN INDAHWATI, DR., SP.OG.:SENIN:"15:00 s.d 17:00"
28:25:POLIKLINIK KHITAN:MALI PAMUAJI W., H. DR.:SENIN:"10:00 s.d 12:00"
29:7:POLIKLINIK KULIT DAN KELAMIN:WIDIATI, DR. , SP.KK:SENIN:"10:00 s.d 12:00"
30:13:POLIKLINIK MATA:RETNO DWIYANTI, DR., SP.M:SENIN:"14:00 s.d 16:00"
31:26:POLIKLINIK ORTODONTI:HILLDA HERAWATI, DRG., SP.ORT:SENIN:"12:30 s.d 14:00"
32:24:POLIKLINIK PARU:AZRIL HASAN, DR.,SP.P.:SENIN:"10:00 s.d 12:00"
33:5:POLIKLINIK PENYAKIT DALAM:EKA SURYA NUGRAHA, SP.PD:SENIN:"17:00 s.d 18:00"
34:5:POLIKLINIK PENYAKIT DALAM:IWAN S. MERTASUDIRA, DR. SP.PD:SENIN:"12:00 s.d 15:00"
35:5:POLIKLINIK PENYAKIT DALAM:MUHAMMAD IQBAL, H. DR.,SP.PD.:SENIN:"11:00 s.d 13:00"
36:5:POLIKLINIK PENYAKIT DALAM:RADEN BENI BENARDI, DR., SPPD:SENIN:"14:30 s.d 16:00"
37:5:POLIKLINIK PENYAKIT DALAM:TULUS WIDIYANTO, DR., SP.PD.:SENIN:"14:00 s.d 15:00"
38:5:POLIKLINIK PENYAKIT DALAM PINERE:TULUS WIDIYANTO, DR., SP.PD.:SENIN:"09:00 s.d 13:00"
39:5:POLIKLINIK PENYAKIT DALAM (RAUDHAH):HARSYA PRIYANGGA P NUGRAHA, DR., SPPD:SENIN:"08:00 s.d 10:00"
40:5:POLIKLINIK PENYAKIT DALAM (RAUDHAH):IWAN S. MERTASUDIRA, DR. SP.PD:SENIN:"10:00 s.d 12:00"
41:5:POLIKLINIK PENYAKIT DALAM (RAUDHAH):MUHAMMAD IQBAL, H. DR.,SP.PD.:SENIN:"09:00 s.d 11:00"
42:5:POLIKLINIK PENYAKIT DALAM (RAUDHAH):TULUS WIDIYANTO, DR., SP.PD.:SENIN:"14:00 s.d 16:00"
43:29:POLIKLINIK PROSTODONTI:RHENI SAFIRA ISNAENI, DRG., SP.PROS:SENIN:"13:00 s.d 14:00"
44:22:POLIKLINIK PSIKIATRI:UNTUNG SENTOSA, DR., SP. KJ.:SENIN:"08:00 s.d 14:00"
45:23:POLIKLINIK PSIKOLOGI:SELLY MAHLIANI, DRA. PSI:SENIN:"10:00 s.d 12:00"
46:4:POLIKLINIK SYARAF:NURI AMALIA, HJ. DR., SP.S.:SENIN:"08:00 s.d 11:00"
47:4:POLIKLINIK SYARAF:ROSLAINI, DR., SP.S:SENIN:"11:00 s.d 14:00"
48:4:POLIKLINIK SYARAF (RAUDHAH):NURI AMALIA, HJ. DR., SP.S.:SENIN:"11:00 s.d 13:00"
49:4:POLIKLINIK SYARAF (RAUDHAH):ROSLAINI, DR., SP.S:SENIN:"09:00 s.d 11:00"
50:15:POLIKLINIK THT:KOM POL PURWADI, DR., SP.THT-KL:SENIN:"16:00 s.d 17:00"
51:7:KONSULTASI VCT:MALI PAMUAJI W., H. DR.:SELASA:"14:00 s.d 15:00"
52:11:POLIKLINIK ANAK:BURHAN, DR., SP.A.:SELASA:"07:30 s.d 09:00"
53:11:POLIKLINIK ANAK:REBY KUSUMAJAYA, DR., SP.A(K), M.KES.:SELASA:"15:00 s.d 16:00"
54:11:POLIKLINIK ANAK:WEDI ISKANDAR, DR. SP.A.:SELASA:"09:00 s.d 12:00"
55:11:POLIKLINIK ANAK:YENI ANDAYANI, HJ. DR. SP.A.:SELASA:"08:00 s.d 10:00"
56:11:POLIKLINIK ANAK :LIA MARLIA K., HJ. DR. SP. A.:SELASA:"11:00 s.d 13:00"
57:11:POLIKLINIK ANAK PINERE:LIA MARLIA K., HJ. DR. SP. A.:SELASA:"10:00 s.d 12:00"
58:9:POLIKLINIK BEDAH ORTHOPEDI (RAUDHAH):DADANG RUKANTA, H. DR., SP.OT.FICS., M.KES.:SELASA:"10:00 s.d 12:00"
59:6:POLIKLINIK BEDAH MULUT:ABEL TASMAN YUZA, DRG., SP.BM:SELASA:"11:00 s.d 13:00"
60:9:POLIKLINIK BEDAH ORTHOPEDY:DENY HERMANA, DR, SP.OT.:SELASA:"08:00 s.d 10:00"
61:4:POLIKLINIK BEDAH SYARAF:ACHMAD ADAM, DR., SP.BS. (K):SELASA:"17:00 s.d 17:30"
62:6:POLIKLINIK BEDAH UMUM:CATUR SETYO DAMARIANTO, H. DR., SP. B.:SELASA:"10:00 s.d 12:00"
63:6:POLIKLINIK BEDAH UMUM (RAUDHAH):LIZA NURSANTY, DR., SP.B, M.KES, FINACS:SELASA:"10:00 s.d 12:00"
64:1:POLIKLINIK BEDAH UROLOGI:AHMAD AGIL, DR., SP.U:SELASA:"09:00 s.d 12:00"
65:6:POLIKLINIK BKIA:BIDAN BKIA:SELASA:"10:00 s.d 12:00"
66:20:POLIKLINIK ENDODONTI:DEWI ROSMALADEWI, DRG., SPKG:SELASA:"09:00 s.d 12:00"
67:18:POLIKLINIK GIGI:KUSHARI SUSANTO NB, DRG.:SELASA:"09:00 s.d 12:00"
68:18:POLIKLINIK GIGI:RULIA, DRG.:SELASA:"09:00 s.d 12:00"
69:19:POLIKLINIK GIZI:RITA RATNASARI, DR., SP.GK:SELASA:"10:00 s.d 12:00"
70:10:POLIKLINIK JANTUNG:DENDI PUJI WAHYUDI, DR., SP.JP.:SELASA:"14:00 s.d 16:00"
71:10:POLIKLINIK JANTUNG:FAJAR ASHARI, H. DR., SP. JP.:SELASA:"09:00 s.d 12:00"
72:10:POLIKLINIK JANTUNG:HARVI PUSPA WARDANI, DR., SP.JP.:SELASA:"08:00 s.d 10:30"
73:10:POLIKLINIK JANTUNG:M. AGUS THOSIN H. A. T., H. DR., SP.JP.:SELASA:"15:30 s.d 16:00"
74:10:POLIKLINIK JANTUNG:SUGIANTORO, DR., SP. JP.:SELASA:"10:00 s.d 12:30"
75:21:POLIKLINIK KANDUNGAN:ALI BUDI HARSONO, DR., SP.OG(K).:SELASA:"16:30 s.d 17:00"
76:21:POLIKLINIK KANDUNGAN:ANNISA, DR., SP.OG.:SELASA:"12:00 s.d 13:00"
77:21:POLIKLINIK KANDUNGAN:ARIF TRIBAWONO, DR., SP.OG., M.KES.:SELASA:"16:30 s.d 17:00"
78:21:POLIKLINIK KANDUNGAN (RAUDHAH):ALI BUDI HARSONO, DR., SP.OG(K).:SELASA:"16:00 s.d 16:30"
79:21:POLIKLINIK KANDUNGAN (RAUDHAH):ANNISA, DR., SP.OG.:SELASA:"09:00 s.d 12:00"
80:21:POLIKLINIK KANDUNGAN (RAUDHAH):ARIF TRIBAWONO, DR., SP.OG., M.KES.:SELASA:"15:00 s.d 16:30"
81:21:POLIKLINIK KANDUNGAN (RAUDHAH):INDAH MAHARANI, DR. SP.OG:SELASA:"13:00 s.d 15:00"
82:25:POLIKLINIK KHITAN:DICKY ROSYADI, DR.:SELASA:"10:00 s.d 12:00"
83:7:POLIKLINIK KULIT DAN KELAMIN:ANDI FAUZIAH, DR., SP.KK:SELASA:"10:00 s.d 12:00"
84:13:POLIKLINIK MATA:GILANG MUTIARA, DR., SP. M:SELASA:"10:00 s.d 12:00"
85:24:POLIKLINIK PARU:AZRIL HASAN, DR.,SP.P.:SELASA:"10:00 s.d 12:00"
86:5:POLIKLINIK PENYAKIT DALAM:HARSYA PRIYANGGA P NUGRAHA, DR., SPPD:SELASA:"07:30 s.d 09:00"
87:5:POLIKLINIK PENYAKIT DALAM:IWAN S. MERTASUDIRA, DR. SP.PD:SELASA:"12:00 s.d 15:00"
88:5:POLIKLINIK PENYAKIT DALAM PINERE:TULUS WIDIYANTO, DR., SP.PD.:SELASA:"10:00 s.d 12:00"
89:5:POLIKLINIK PENYAKIT DALAM (RAUDHAH):IWAN S. MERTASUDIRA, DR. SP.PD:SELASA:"10:00 s.d 12:00"
90:5:POLIKLINIK PENYAKIT DALAM (RAUDHAH):MUHAMMAD IQBAL, H. DR.,SP.PD.:SELASA:"07:30 s.d 09:00"
91:5:POLIKLINIK PENYAKIT DALAM (RAUDHAH):TULUS WIDIYANTO, DR., SP.PD.:SELASA:"08:30 s.d 10:00"
92:6:POLIKLINIK PERJANJIAN (RAUDHAH):ACHMAD ADAM, DR., SP.BS. (K):SELASA:"16:00 s.d 17:00"
93:22:POLIKLINIK PSIKIATRI:UNTUNG SENTOSA, DR., SP. KJ.:SELASA:"08:00 s.d 14:00"
94:23:POLIKLINIK PSIKOLOGI:KHAMSHA NOORY FINALISYA, , S.PSI, MPSI:SELASA:"10:00 s.d 12:00"
95:4:POLIKLINIK SYARAF:NURI AMALIA, HJ. DR., SP.S.:SELASA:"08:00 s.d 11:00"
96:4:POLIKLINIK SYARAF:ROSLAINI, DR., SP.S:SELASA:"11:00 s.d 14:00"
97:4:POLIKLINIK SYARAF (RAUDHAH):NURI AMALIA, HJ. DR., SP.S.:SELASA:"11:00 s.d 13:00"
98:4:POLIKLINIK SYARAF (RAUDHAH):ROSLAINI, DR., SP.S:SELASA:"09:00 s.d 11:00"
99:15:POLIKLINIK THT:KOM POL PURWADI, DR., SP.THT-KL:SELASA:"16:00 s.d 17:00"
100:17:KLINIK BEDAH PLASTIK (RAUDHAH):ABDILLA RIDHWAN IRIANTO, DR., SP.BP-RE.:RABU:"10:00 s.d 12:00"
101:1:KLINIK BEDAH UROLOGI (RAUDHAH):TJAHJODJATI, DR., SP.B, (K) U:RABU:"14:00 s.d 15:00"
102:11:POLIKLINIK ANAK:DICKY SANTOSA, DR.,SP.A., MM., M.KES.:RABU:"14:00 s.d 16:00"
103:11:POLIKLINIK ANAK:LIA MARLIA K., HJ. DR. SP. A.:RABU:"07:30 s.d 09:00"
104:11:POLIKLINIK ANAK:WEDI ISKANDAR, DR. SP.A.:RABU:"08:00 s.d 10:00"
105:11:POLIKLINIK ANAK:YENI ANDAYANI, HJ. DR. SP.A.:RABU:"07:59 s.d 10:00"
106:11:POLIKLINIK ANAK :BURHAN, DR., SP.A.:RABU:"11:00 s.d 13:00"
107:11:POLIKLINIK ANAK PINERE:YENI ANDAYANI, HJ. DR. SP.A.:RABU:"10:00 s.d 12:00"
108:9:POLIKLINIK BEDAH ORTHOPEDI (RAUDHAH):DENY HERMANA, DR, SP.OT.:RABU:"08:00 s.d 10:00"
109:3:POLIKLINIK BEDAH ANAK:ARIF BUDIMAN, DR,. SP. B (K) A:RABU:"15:00 s.d 16:00"
110:6:POLIKLINIK BEDAH DIGESTIV:KIKI LUKMAN, DR., SP.B (K) BD.:RABU:"15:00 s.d 16:00"
111:9:POLIKLINIK BEDAH ORTHOPEDY:DADANG RUKANTA, H. DR., SP.OT.FICS., M.KES.:RABU:"10:00 s.d 12:00"
112:17:POLIKLINIK BEDAH PLASTIK:ABDILLA RIDHWAN IRIANTO, DR., SP.BP-RE.:RABU:"13:00 s.d 14:00"
113:6:POLIKLINIK BEDAH UMUM:LIZA NURSANTY, DR., SP.B, M.KES, FINACS:RABU:"10:00 s.d 12:00"
114:6:POLIKLINIK BEDAH UMUM (RAUDHAH):IRZAN GUSTANTO NUGRAHA LUBIS, DR. SP.B.:RABU:"10:00 s.d 12:00"
115:18:POLIKLINIK GIGI:R. GINANDJAR ASLAMA MAULID, DRG.:RABU:"09:00 s.d 12:00"
116:18:POLIKLINIK GIGI:RINA JOEANDA, DRG.:RABU:"09:00 s.d 12:00"
